long,lat,elevation,slope_005,slope_005_02,slope_02_05,slope_05_10,slope_10_15,slope_15_30,slope_30_45,slope_45,aspect_north,aspect_east,aspect_south,aspect_west,water_land,barren_land,urban_land,grass_land,forest_land,partial_cultivated_land,irrigated_land,cultivated_land,nutrient,rooting,oxygen,excess_salts,toxicity,workability,fips
-124.0,41.3,478,0.0,0.0015,0.0118,0.0436,0.0697,0.3906,0.4188,0.064,0.2212,0.302,0.1485,0.3268,0.0,0.0,0.062899999320507,8.94975757598877,90.9873428344727,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.0,41.4,366,0.0001,0.0022,0.0131,0.045,0.0774,0.3432,0.3676,0.1514,0.2255,0.2993,0.1893,0.2836,0.0,0.0,0.0374999977648258,8.9520320892334,91.0104675292969,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.0,41.5,257,0.0002,0.0048,0.0147,0.0353,0.0635,0.2965,0.2814,0.3036,0.2002,0.3242,0.1856,0.285,0.0,0.0,0.104599997401237,8.94602108001709,90.9493789672852,0.0,0.0,0.0,2,1,1,1,1,1,6015
-124.0,41.6,375,0.0026,0.0179,0.0235,0.0339,0.0334,0.2108,0.3628,0.3151,0.1881,0.2055,0.2113,0.3746,0.0,0.0,0.0967999994754791,8.94671821594238,90.9564819335938,0.0,0.0,0.0,2,1,1,1,1,1,6015
-124.0,41.7,640,0.0003,0.0019,0.0118,0.0339,0.0404,0.2294,0.3698,0.3125,0.2088,0.3036,0.2188,0.2666,0.0,0.0,0.147200003266335,9.36310958862305,88.5903015136719,0.0,1.89938902854919,1.89938902854919,2,1,1,1,1,1,6015
-124.0,41.8,564,0.0009,0.0027,0.0224,0.068,0.0848,0.2502,0.3042,0.2668,0.2479,0.1932,0.2634,0.2919,0.0,0.0,0.0825999975204468,16.8310890197754,83.086311340332,0.0,0.0,0.0,2,1,1,1,1,1,6015
-124.0,41.9,470,0.0005,0.0057,0.0139,0.0425,0.0554,0.2343,0.3213,0.3264,0.215,0.2076,0.3124,0.2588,0.0,0.0,0.110799998044968,10.7647190093994,89.1244812011719,0.0,0.0,0.0,2,1,1,1,1,1,6015
-123.9,39.9,309,0.0,0.0009,0.0073,0.0288,0.0431,0.2221,0.3255,0.1929,0.1275,0.2217,0.2185,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6045
-123.9,40.0,380,0.0005,0.0038,0.017,0.052,0.0802,0.4329,0.3799,0.0337,0.2122,0.309,0.2095,0.265,16.0,0.0,0.0548339821398258,7.69900512695313,76.1232757568359,0.1216164752841,0.00126848602667451,0.122884958982468,2,1,1,1,1,1,6045
-123.9,40.1,360,0.0001,0.0027,0.0132,0.0456,0.0791,0.5471,0.3002,0.012,0.2243,0.2736,0.2368,0.2625,0.0,0.0,0.165099993348122,8.94060516357422,90.8942947387695,0.0,0.0,0.0,2,1,1,1,1,1,6023
-123.9,40.2,290,0.0,0.0036,0.0192,0.0693,0.1048,0.4999,0.279,0.0242,0.2137,0.3103,0.2309,0.2415,0.0,0.0,0.0806000009179115,9.50173568725586,90.4168319702148,0.0,0.000832319376058877,0.000832319376058877,2,1,1,1,1,1,6023
-123.9,40.3,277,0.0006,0.0053,0.0162,0.0408,0.0669,0.48,0.3217,0.0685,0.2578,0.2623,0.2296,0.2444,0.0,0.0,0.421699970960617,12.4324645996094,87.1458358764648,0.0,0.0,0.0,2,1,1,1,1,1,6023
-123.9,40.4,298,0.0013,0.0118,0.0269,0.0532,0.0677,0.3979,0.348,0.0932,0.293,0.1039,0.3231,0.2669,0.0,0.0,0.0234999991953373,8.95328330993652,91.0232162475586,0.0,0.0,0.0,2,1,1,1,1,1,6023
-123.9,40.5,397,0.0002,0.0036,0.0158,0.0426,0.057,0.4684,0.3329,0.0795,0.2515,0.1543,0.3007,0.2897,0.0,0.0,0.130199998617172,8.68690776824951,89.2862930297852,1.89659917354584,0.0,1.89659917354584,2,1,1,1,1,1,6023
-123.9,40.6,738,0.0001,0.0022,0.0108,0.0332,0.0721,0.5726,0.2707,0.0383,0.2732,0.1457,0.3105,0.2683,0.0,0.0,0.0,8.95539093017578,91.0446090698242,0.0,0.0,0.0,2,1,1,1,1,1,6023
-123.9,40.7,628,0.0,0.0027,0.0118,0.0583,0.1013,0.556,0.2136,0.0563,0.2474,0.2034,0.3342,0.2123,0.0,0.0,0.0520999990403652,11.2268381118774,88.721061706543,0.0,0.0,0.0,2,1,1,1,1,1,6023
-123.9,40.8,297,0.0007,0.0041,0.0231,0.076,0.1263,0.5515,0.1768,0.0415,0.2297,0.1288,0.2611,0.3756,0.0,0.0,0.0,9.51177215576172,90.4882278442383,0.0,0.0,0.0,2,1,1,1,1,1,6023
-123.9,40.9,629,0.0004,0.0039,0.0175,0.0557,0.0863,0.5149,0.2838,0.0375,0.2268,0.178,0.2641,0.3268,0.0,0.0,0.0,8.81128120422363,91.0006332397461,0.0,0.188085302710533,0.188085302710533,2,1,1,1,1,1,6023
-123.9,41.0,593,0.0003,0.0031,0.016,0.0467,0.0753,0.4617,0.3566,0.0403,0.1812,0.3232,0.2321,0.2601,0.0,0.0,0.0,8.53835487365723,91.0031890869141,0.0,0.458456486463547,0.458456486463547,2,1,1,1,1,1,6023
-123.9,41.1,475,0.0,0.0016,0.0111,0.0317,0.0378,0.3755,0.4663,0.076,0.2533,0.2572,0.2098,0.2781,0.0,0.0,0.0342000015079975,8.95232677459717,91.0134735107422,0.0,0.0,0.0,2,1,1,1,1,1,6023
-123.9,41.2,694,0.0001,0.0007,0.007,0.0202,0.0435,0.4601,0.4,0.0684,0.222,0.1544,0.2896,0.3332,0.0,0.0,0.024100000038743,8.95323276519775,91.0226669311523,0.0,0.0,0.0,2,1,1,1,1,1,6023
-123.9,41.3,412,0.0002,0.0014,0.0064,0.0239,0.0317,0.2993,0.3453,0.2918,0.2309,0.3603,0.1622,0.245,0.0,0.0,0.0736059248447418,8.94875049591064,90.9771499633789,0.0,0.000494075589813292,0.000494075589813292,2,1,1,1,1,1,6023
-123.9,41.4,426,0.0002,0.0023,0.0142,0.0367,0.0565,0.2831,0.3818,0.2252,0.1836,0.1832,0.3267,0.304,0.0,0.0,0.0875708237290382,8.94623947143555,90.9515609741211,0.0,0.0146291702985764,0.0146291702985764,2,1,1,1,1,1,6023
